loco_number,current_operator,vehicle_description,train_id,route,date_time_added,last_seen,lat,lon,source
44208,,Manildra Mills Shunter,MRA1,MRA1 Manildra,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-33.186677,148.695973,trains.json
ACB4403,,Aurizon Loaded Sulphur containers,4029,4029 Kwinana BIS Malcolm,2026-04-29T17:31:31.316802Z,2026-04-30T00:32:55.361185Z,-30.7722,121.43203,trains.json
ACB4404,,CBH SG Loaded Grain,4S50,4S50 Eastern Goldfields Railway Kwinana Grain Terminal,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-31.640715,116.626572,trains.json
ACD6047,,Aurizon Loaded Mineral Sands Shuttle,8801,"8801 Tronox Siding, Ivanhoe Broken Hill",2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-31.9646,141.461893,trains.json
ACD6049,,Aurizon Intermodal,3PS1,"3PS1 Aurizon, Forrestfield Glenlee",2026-04-29T17:31:31.316802Z,2026-04-30T00:32:55.361185Z,-32.483097,137.770653,trains.json
ACD6052,,Aurizon Intermodal,2PM1,"2PM1 Aurizon, Forrestfield North Dynon",2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-37.80215,144.933107,trains.json
ACD6056,,Aurizon Intermodal,3PM1,"3PM1 Aurizon, Forrestfield North Dynon",2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-34.807333,138.60768,trains.json
ACD6057,,Aurizon Intermodal,4PM1,"4PM1 Aurizon, Forrestfield North Dynon",2026-04-29T17:19:50.671764Z,2026-04-30T00:02:48.407086Z,-30.743467,129.200707,trains.json
ACD6058,,SCT Intermodal,3MB9,"3MB9 SCT, Laverton SCT, Bromelton",2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-27.959358,152.921693,trains.json
ACD6059,,SCT Intermodal,4AM9,"4AM9 SCT, Penfield SCT, Laverton",2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-37.86471,144.768013,trains.json
ACD6065,,Aurizon Intermodal,3SP1,3SP1 Glenlee Kwinana,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-30.64745,134.0138,trains.json
ACD6066,,Aurizon Intermodal,3MP1,"3MP1 North Dynon Aurizon, Forrestfield",2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-31.007833,125.268613,trains.json
ACD6069,,Aurizon Empty Grain,1513S,1513S Dry Creek North Gladstone,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-33.969373,138.22808,trains.json
ACD6071,,Loaded Aurizon Ore,4WD3,4WD3 Argyle Siding Berrimah,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-12.470435,130.910107,trains.json
ACD6073,,Aurizon Intermodal,5DA2,5DA2 Berrimah (Darwin) Gillman Yard (Port Flat),2026-04-30T00:32:55.361185Z,2026-04-30T00:32:55.361185Z,-12.588917,130.97188,trains.json
ACD6074,,Yilgarn Iron Iron Ore,4043,4043 Koolyanobbing East Esperance,2026-04-29T17:19:50.671764Z,2026-04-29T17:31:31.316802Z,-30.79554,121.396413,trains.json
BL26,,PN Grain,9785,9785 Murtoa Hopetoun Line,2026-04-29T18:02:14.194502Z,2026-04-29T18:02:14.194502Z,-36.598467,142.473973,trains.json
BL31,,PN Grain,7725V,7725V Dimboola Yard Dimboola Grain Siding,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-36.422147,142.005,trains.json
BL33,,PN Grain,7732V,7732V Western Victoria Geelong Grain Loop,2026-04-29T17:31:31.316802Z,2026-04-30T00:32:55.361185Z,-38.109607,144.365613,trains.json
