Loco ID,Train Number,Last Seen,Last Date,Last Time,Latitude,Longitude,Speed,Origin,Destination,Description,Total Sightings,cId,servId,trKey
TNSW-5618-6343,N731,2026-02-16 13:44:57,2026-02-16,13:44:57,-33.88376,151.20615,0,Central,Newcastle Interchange via Strathfield,Central Coast & Newcastle Line,5,,,
1290,L1,2026-02-16 13:44:57,2026-02-16,13:44:57,-33.882259,151.207718,28,,,Dulwich Hill Line,5,,,
TNSW-3282-6248,132S,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.695012,151.101297,0,City,Hornsby and Berowra via Gordon,T1 North Shore Line,2,,,
TNSW-8075-1177,130U,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.65347,151.13679,0,North Shore,Hornsby and Berowra via City and Strathfield,T9 Northern Line,2,,,
TNSW-1660-4176,845S,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.883591,151.206039,0,Berowra and Hornsby,North Shore via Strathfield and City,T9 Northern Line,2,,,
TNSW-8435-7586,137Y,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.706619,151.097412,0,North Shore,Hornsby and Berowra via City and Strathfield,T9 Northern Line,2,,,
TNSW-1157-8060,130V,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.7032,151.0984,0,Berowra and Hornsby,North Shore via Strathfield and City,T9 Northern Line,2,,,
TNSW-9320-9471,142T,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.88345,151.205887,0,Emu Plains,Berowra via City ,T1 Western Line,2,,,
TNSW-6453-7064,842U,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.88358,151.20585,0,North Shore,Hornsby and Berowra via City and Strathfield,T9 Northern Line,2,,,
JP2537-1,36,2026-02-16 12:14:46,2026-02-16,12:14:46,-42.35014,147.404621,0,brighton,burnie,Tasrail Intermodal,2,,,
JP2542-1,33,2026-02-16 12:14:46,2026-02-16,12:14:46,-41.828054,147.432356,0,bell-bay,brighton,Tasrail Mixed Freight,2,,,
QL001,3868,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.829377,147.74408,39,Southern NSW,Western NSW,QUBE Grain,2,,,
8171,3926,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.275693,147.92476,35,Southern NSW,Inner Harbour,PN Grain,2,,,
8220,3934,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.555727,148.100173,54,Southern NSW,Inner Harbour,PN Grain,2,,,
VL352,2343,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.643453,148.02804,0,Allied Pinnacle Maldon,Southern NSW,SSR Grain,2,,,
NR1,2MC2,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.87093,147.583693,0,Appleton Dock,Griffith,PN Containerised Freight,2,,,
MM-9961M,PKM,2026-02-16 12:14:46,2026-02-16,12:14:46,-38.077389,145.46991,0,,,Pakenham Line,2,,,
MM-9967M,PKM,2026-02-16 12:14:46,2026-02-16,12:14:46,-38.084373,145.506683,0,,,Pakenham Line,2,,,
NR82,2MB4,2026-02-16 12:14:46,2026-02-16,12:14:46,-36.411633,146.257293,106,MFT (South Dynon),Acacia Ridge,PN Intermodal,2,,,
VLINE-8451,8451,2026-02-16 12:14:46,2026-02-16,12:14:46,-38.19915,146.536957,0,,,"Traralgon - Melbourne Via Pakenham, Moe & Morwell",2,,,
VLINE-8453,8453,2026-02-16 12:14:46,2026-02-16,12:14:46,-38.178761,146.269241,0,,,"Traralgon - Melbourne Via Pakenham, Moe & Morwell",2,,,
MM-64M,LIL,2026-02-16 13:44:57,2026-02-16,13:44:57,-37.814209,145.233048,0,,,Lilydale Line,5,,,
MM-9904M,CBE,2026-02-16 12:14:46,2026-02-16,12:14:46,-38.097942,145.278091,0,,,Cranbourne Line,2,,,
MM-9912M,CBE,2026-02-16 12:14:46,2026-02-16,12:14:46,-38.100006,145.281265,0,,,Cranbourne Line,2,,,
MM-868M,LIL,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.757126,145.345825,0,,,Lilydale Line,2,,,
MM-9955M,PKM,2026-02-16 12:14:46,2026-02-16,12:14:46,-38.060658,145.382278,0,,,Pakenham Line,2,,,
VLINE-8455,8455,2026-02-16 12:14:46,2026-02-16,12:14:46,-38.072182,145.442596,112,,,"Traralgon - Melbourne Via Pakenham, Moe & Morwell",2,,,
VLINE-8457,8457,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.81929,144.963486,25,,,"Traralgon - Melbourne Via Pakenham, Moe & Morwell",2,,,
MM-9950M,PKM,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.817406,144.967545,0,,,Pakenham Line,2,,,
MM-668M,FKN,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.856483,145.019318,0,,,Frankston Line,2,,,
MM-206M,ALM,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.825054,145.054047,0,,,Alamein Line,2,,,
MM-966M,HBE,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.788185,144.995453,0,,,Hurstbridge Line,2,,,
VLINE-8161,8161,2026-02-19 06:56:42,2026-02-19,06:56:42,-37.539711,143.819748,11,,,Ballarat - Melbourne Via Melton,789,08a6e392-c351-4145-8ddd-ba15e55c28ef,,VLINE-8161
3VL59,8454,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.815553,144.94984,13,Traralgon,Southern Cross,Gippsland Line Service,2,,,
VLINE-8454,8454,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.815552,144.949844,13,,,"Traralgon - Melbourne Via Pakenham, Moe & Morwell",2,,,
3VL07,8457,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.814513,144.947693,1,Southern Cross,Traralgon,Gippsland Line Service,2,,,
VLINE-8158,8158,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.811569,144.945953,5,,,Ballarat - Melbourne Via Melton,2,,,
MM-764M,UFD,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.806572,144.941742,0,,,Upfield Line,2,,,
3VL37,8158,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.81246,144.947053,22,Wendouree,Southern Cross,Western Line Service,2,,,
3VS97,8631,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.804963,144.929587,6,Southern Cross Station,South Dynon,Empty Car Provisioning,2,,,
MM-9922M,CBE,2026-02-16 14:00:06,2026-02-16,14:00:06,-38.099689,145.280762,0,,,Cranbourne Line,4,8a12cdda-ab2e-43ce-baad-e3f00fe7fa9c,20cc1e8d-3c1c-4efd-9cdd-1346c485fec9,MM-9922M
3VL91,8056,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.801673,144.901973,34,Bendigo (M-Sa),Southern Cross,Northern Line Service,2,,,
A70,9093,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.801663,144.885467,17,Tottenham Yard,Piangil Line / Deniliquin Line,SSR BG Grain,2,,,
VLINE-8056,8056,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.801239,144.902832,27,,,Bendigo - Melbourne Via Sunbury,2,,,
G526,0513,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.800717,144.919747,8,,,QUBE Light Engine Movement,2,,,
3VL105,8059,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.793487,144.837227,80,Southern Cross,Bendigo,Northern Line Service,2,,,
VLINE-8338,8338,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.747742,144.920166,51,,,Seymour - Melbourne Via Broadmeadows,2,,,
G543,9359,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.684887,144.91816,23,North Geelong Yard,Tocumwal,PN Empty BG Grain,2,,,
MM-9954M,SUY,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.578999,144.728104,0,,,Sunbury Line,2,,,
VLINE-8160,8160,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.71484,144.550003,70,,,Ballarat - Melbourne Via Melton,2,,,
VLINE-8057,8057,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.39352,144.554062,93,,,Bendigo - Melbourne Via Sunbury,2,,,
3VL45,8338,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.69512,144.915867,62,Seymour Station,Southern Cross Station,North East Line BG Service,2,,,
MM-858M,MDD,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.603729,145.100647,0,,,Mernda Line,2,,,
VLINE-8339,8339,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.02446,145.13826,16,,,Seymour - Melbourne Via Broadmeadows,2,,,
8132,2MC5,2026-02-16 12:14:46,2026-02-16,12:14:46,-36.944833,145.173373,81,Gheringhap Loop,Southern NSW,PN Grain,2,,,
MM-740M,CGB,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.804543,144.93895,0,,,Craigieburn Line,2,,,
VLINE-8059,8059,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.793449,144.837235,0,,,Bendigo - Melbourne Via Sunbury,2,,,
MM-784M,CGB,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.743855,144.927017,0,,,Craigieburn Line,2,,,
VLINE-8159,8159,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.696999,144.393738,0,,,Ballarat - Melbourne Via Melton,2,,,
VLINE-8089,8089,2026-02-16 12:14:46,2026-02-16,12:14:46,-35.660721,143.83136,89,,,Swan Hill - Melbourne Via Bendigo,2,,,
VLINE-8162,8162,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.5952,144.015656,0,,,Ballarat - Melbourne Via Melton,2,,,
VLINE-8157,8157,2026-02-16 12:14:46,2026-02-16,12:14:46,-37.596699,144.028626,30,,,Ballarat - Melbourne Via Melton,2,,,
VLINE-8053,8053,2026-02-16 12:14:46,2026-02-16,12:14:46,-36.718681,144.248673,0,,,Bendigo - Melbourne Via Sunbury,2,,,
VLINE-8055,8055,2026-02-16 12:14:46,2026-02-16,12:14:46,-36.905159,144.224976,108,,,Bendigo - Melbourne Via Sunbury,2,,,
MM-800M,FKN,2026-02-16 12:14:46,2026-02-16,12:14:46,-38.143192,145.125763,0,,,Frankston Line,2,,,
CSR015,2MP9,2026-02-16 12:14:46,2026-02-16,12:14:46,-38.100467,143.986267,68,"SCT, Laverton","SCT, Forrestfield",SCT Intermodal,2,,,
